Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
IGSF21,,"Homophilic cell adhesion via plasma membrane adhesion molecules
Heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Synapse maturation
Trans-synaptic signaling, modulating synaptic transmission","Plasma membrane
Synapse
Postsynaptic membrane
Presynaptic membrane
Side of membrane
Adherens junction
External side of plasma membrane
Inhibitory synapse
Postsynaptic density membrane",ENSG00000117154,immunoglobin superfamily member 21,protein_coding
IKZF2,"Metal ion binding
Protein binding
Dna binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription factor activity
Molecular_function","Regulation of transcription by rna polymerase ii
Biological_process",Nucleus,ENSG00000030419,IKAROS family zinc finger 2,protein_coding
IL10,"Cytokine activity
Protein binding
Growth factor activity
Protein dimerization activity
Interleukin-10 receptor binding","Immune response
Positive regulation of vascular associated smooth muscle cell proliferation
Positive regulation of cytokine production
Negative regulation of apoptotic process
Signal transduction
Positive regulation of dna-templated transcription
Regulation of cytokine production
Negative regulation of autophagy
Negative regulation of interleukin-6 production
Cellular response to lipopolysaccharide
Response to molecule of bacterial origin
Positive regulation of dna-binding transcription factor activity
Hemopoiesis
Negative regulation of cell population proliferation
Regulation of gene expression
Negative regulation of inflammatory response
Negative regulation of heterotypic cell-cell adhesion
Positive regulation of signaling receptor activity
Cytoplasmic sequestering of nf-kappab
Negative regulation of cytokine production
Negative regulation of t cell proliferation
B cell differentiation
Positive regulation of receptor signaling pathway via jak-stat
B cell proliferation
Positive regulation of mirna transcription
Negative regulation of cytokine production involved in immune response
Positive regulation of heterotypic cell-cell adhesion
Response to glucocorticoid
Type 2 immune response
Negative regulation of vascular associated smooth muscle cell proliferation
Regulation of isotype switching
Positive regulation of immunoglobulin production
Positive regulation of plasma cell differentiation
Positive regulation of b cell apoptotic process
Negative regulation of b cell proliferation
Positive regulation of endothelial cell proliferation
Chronic inflammatory response to antigenic stimulus
Negative regulation of chronic inflammatory response to antigenic stimulus
Response to xenobiotic stimulus
Response to activity
Response to inactivity
Leukocyte chemotaxis
Negative regulation of myeloid dendritic cell activation
Response to lipopolysaccharide
Negative regulation of interferon-alpha production
Negative regulation of type ii interferon production
Negative regulation of interleukin-1 production
Negative regulation of interleukin-12 production
Negative regulation of interleukin-18 production
Negative regulation of interleukin-8 production
Negative regulation of tumor necrosis factor production
Response to insulin
Response to carbon monoxide
Cellular response to hepatocyte growth factor stimulus
Defense response to bacterium
Defense response to protozoan
Positive regulation of macrophage activation
Negative regulation of neuron apoptotic process
Negative regulation of nitric oxide biosynthetic process
Negative regulation of mhc class ii biosynthetic process
Positive regulation of mhc class ii biosynthetic process
Positive regulation of cell cycle
Negative regulation of mitotic cell cycle
Positive regulation of transcription by rna polymerase ii
Regulation of synapse organization
Negative regulation of membrane protein ectodomain proteolysis
Negative regulation of cytokine activity
Branching involved in labyrinthine layer morphogenesis
Cellular response to estradiol stimulus
Negative regulation of chemokine (c-c motif) ligand 5 production
Endothelial cell apoptotic process
Liver regeneration
Interleukin-10-mediated signaling pathway
Regulation of response to wounding
Negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
Positive regulation of sprouting angiogenesis
Negative regulation of endothelial cell apoptotic process","Extracellular region
Extracellular space",ENSG00000136634,interleukin 10,protein_coding
IL12B,"Protein binding
Cytokine receptor activity
Cytokine activity
Identical protein binding
Growth factor activity
Protein heterodimerization activity
Interleukin-12 receptor binding
Cytokine binding
Interleukin-23 receptor binding
Cytokine receptor binding
Interleukin-12 alpha subunit binding
Protein-containing complex binding","Cytokine-mediated signaling pathway
Regulation of cytokine production
Cell migration
Positive regulation of mononuclear cell proliferation
Positive regulation of type ii interferon production
Negative regulation of interleukin-17 production
Positive regulation of interleukin-10 production
Positive regulation of interleukin-12 production
Positive regulation of tumor necrosis factor production
T-helper 1 type immune response
Positive regulation of inflammatory response
Defense response to gram-negative bacterium
Positive regulation of non-canonical nf-kappab signal transduction
Positive regulation of cell adhesion
Natural killer cell activation
Positive regulation of osteoclast differentiation
Positive regulation of lymphocyte proliferation
Positive regulation of activated t cell proliferation
Positive regulation of interleukin-17 production
Cell surface receptor signaling pathway via jak-stat
Positive regulation of smooth muscle cell apoptotic process
Negative regulation of smooth muscle cell proliferation
Positive regulation of granulocyte macrophage colony-stimulating factor production
Positive regulation of t cell proliferation
Negative regulation of protein secretion
Response to uv-b
Positive regulation of natural killer cell activation
Positive regulation of memory t cell differentiation
Negative regulation of vascular endothelial growth factor signaling pathway
Negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
Positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target
Interleukin-12-mediated signaling pathway
Positive regulation of nk t cell activation
Positive regulation of t cell mediated cytotoxicity
Positive regulation of defense response to virus by host
Natural killer cell activation involved in immune response
Positive regulation of t-helper 1 type immune response
Negative regulation of inflammatory response to antigenic stimulus
Cell surface receptor signaling pathway
Cell population proliferation
Sexual reproduction
Negative regulation of interleukin-10 production
Positive regulation of natural killer cell proliferation
Positive regulation of tissue remodeling
T-helper cell differentiation
T cell proliferation
Defense response to protozoan
Positive regulation of nk t cell proliferation
Defense response to virus
Cellular response to lipopolysaccharide
Cellular response to type ii interferon
Positive regulation of t-helper 17 type immune response
Positive regulation of t-helper 17 cell lineage commitment","Membrane
Extracellular region
External side of plasma membrane
Extracellular space
Cytosol
Receptor complex
Endoplasmic reticulum lumen
Late endosome lumen
Interleukin-12 complex
Cytoplasm
Cell surface
Interleukin-23 complex",ENSG00000113302,interleukin 12B,protein_coding
IL13,"Cytokine receptor binding
Protein binding
Cytokine activity
Interleukin-13 receptor binding","Immune response
Signal transduction
Inflammatory response
Positive regulation of gene expression
Positive regulation of cold-induced thermogenesis
Positive regulation of interleukin-10 production
Macrophage activation
Negative regulation of inflammatory response
Negative regulation of complement-dependent cytotoxicity
Negative regulation of endothelial cell apoptotic process
Microglial cell activation
Positive regulation of immunoglobulin production
Response to mechanical stimulus
Regulation of proton transport
Positive regulation of b cell proliferation
Response to lipopolysaccharide
Positive regulation of connective tissue growth factor production
Response to nicotine
Positive regulation of macrophage activation
Positive regulation of monoatomic ion transport
Positive regulation of mast cell degranulation
Response to ethanol
Positive regulation of smooth muscle cell proliferation
Positive regulation of protein secretion
Positive regulation of release of sequestered calcium ion into cytosol
Cellular response to mechanical stimulus
Cellular response to cytokine stimulus
Negative regulation of transforming growth factor beta production
Negative regulation of lung ciliated cell differentiation
Positive regulation of lung goblet cell differentiation
Positive regulation of pancreatic stellate cell proliferation","Extracellular region
Extracellular space
Cytoplasm
External side of plasma membrane",ENSG00000169194,interleukin 13,protein_coding
IL13RA1,"Protein binding
Cytokine receptor activity
Cytokine binding","Cytokine-mediated signaling pathway
Cell surface receptor signaling pathway
Positive regulation of cell population proliferation","Membrane
Plasma membrane
External side of plasma membrane
Receptor complex
Interleukin-13 receptor complex",ENSG00000131724,interleukin 13 receptor subunit alpha 1,protein_coding
IL17REL,Interleukin-17 receptor activity,Cytokine-mediated signaling pathway,Extracellular region,ENSG00000188263,interleukin 17 receptor E like,protein_coding
IL23R,"Protein binding
Interleukin-12 receptor binding
Cytokine receptor activity
Cytokine binding
Interleukin-23 binding
Interleukin-23 receptor activity","Innate immune response
Inflammatory response
Cytokine-mediated signaling pathway
Response to lipopolysaccharide
Positive regulation of type ii interferon production
Positive regulation of interleukin-12 production
Defense response to gram-negative bacterium
Positive regulation of osteoclast differentiation
Response to type ii interferon
Interleukin-23-mediated signaling pathway
Positive regulation of tyrosine phosphorylation of stat protein
Positive regulation of interleukin-17 production
Cell surface receptor signaling pathway via jak-stat
Positive regulation of activated t cell proliferation
Positive regulation of granulocyte macrophage colony-stimulating factor production
Positive regulation of t cell proliferation
Positive regulation of memory t cell differentiation
Positive regulation of nk t cell activation
Positive regulation of t cell mediated cytotoxicity
Positive regulation of defense response to virus by host
Positive regulation of t-helper 1 type immune response
Negative regulation of interleukin-10 production
Positive regulation of natural killer cell proliferation
Positive regulation of t-helper 17 type immune response
Positive regulation of t-helper 17 cell lineage commitment","Plasma membrane
External side of plasma membrane
Cell surface
Receptor complex
Interleukin-23 receptor complex
Membrane",ENSG00000162594,interleukin 23 receptor,protein_coding
IL2RA,"Interleukin-2 receptor activity
Interleukin-2 binding
Protein binding","Immune system process
Inflammatory response
Immune response
Cell surface receptor signaling pathway
Apoptotic process
Inflammatory response to antigenic stimulus
Regulation of t cell tolerance induction
Activation-induced cell death of t cells
Notch signaling pathway
Interleukin-2-mediated signaling pathway
Positive regulation of t cell proliferation
Positive regulation of activated t cell proliferation
Negative regulation of t cell proliferation
T cell homeostasis
Positive regulation of t cell differentiation
Regulation of t cell homeostatic proliferation
Lymphocyte proliferation
Negative regulation of lymphocyte proliferation
Negative regulation of inflammatory response
Activated t cell proliferation
Regulation of cd4-positive, alpha-beta t cell proliferation","Plasma membrane
Membrane
External side of plasma membrane
Cell surface
Interleukin-2 receptor complex",ENSG00000134460,interleukin 2 receptor subunit alpha,protein_coding
IL34,"Macrophage colony-stimulating factor receptor binding
Protein binding
Cytokine activity
Identical protein binding
Growth factor activity","Positive regulation of protein phosphorylation
Positive regulation of cell population proliferation
Innate immune response
Inflammatory response
Positive regulation of macrophage chemotaxis
Positive regulation of macrophage proliferation
Positive regulation of macrophage differentiation
Positive regulation of protein tyrosine kinase activity
Positive regulation of oligodendrocyte differentiation
Positive regulation of map kinase activity
Positive regulation of monocyte differentiation
Interleukin-34-mediated signaling pathway
Positive regulation of gene expression
Microglial cell proliferation","Extracellular space
Extracellular region",ENSG00000157368,interleukin 34,protein_coding
IL36B,"Cytokine activity
Interleukin-1 receptor binding","Immune response
Inflammatory response
Innate immune response
Cytokine-mediated signaling pathway
Positive regulation of gene expression
Cellular response to lipopolysaccharide
Inflammatory response to antigenic stimulus
Positive regulation of t cell differentiation","Extracellular space
Cytoplasm
Extracellular region",ENSG00000136696,interleukin 36 beta,protein_coding
IMMP2L,"Serine-type peptidase activity
Serine-type endopeptidase activity
Endopeptidase activity
Peptidase activity
Protein binding","Proteolysis
Signal peptide processing
Protein processing involved in protein targeting to mitochondrion
Ovarian follicle development
Superoxide metabolic process
Dna damage response
Spermatogenesis
Brain development
Blood circulation
Respiratory electron transport chain
Ovulation
Mitochondrial respiratory chain complex assembly
Cerebellum vasculature development","Membrane
Mitochondrial inner membrane peptidase complex
Mitochondrion
Mitochondrial inner membrane
Membrane protein complex",ENSG00000184903,inner mitochondrial membrane peptidase subunit 2,protein_coding
IMP3,"Rna binding
Rrna binding
Protein binding
Snorna binding","Rrna processing
Ribosome biogenesis
Maturation of ssu-rrna
Ribosomal small subunit biogenesis","Nucleus
Nucleoplasm
Nucleolus
Ribonucleoprotein complex
Small-subunit processome
Mpp10 complex
Preribosome",ENSG00000177971,IMP U3 small nucleolar ribonucleoprotein 3,protein_coding
IMPA2,"Metal ion binding
Inositol monophosphate 1-phosphatase activity
Hydrolase activity
Protein binding
Inositol monophosphate 3-phosphatase activity
Inositol monophosphate 4-phosphatase activity
Inositol monophosphate phosphatase activity
Protein homodimerization activity","Phosphatidylinositol phosphate biosynthetic process
Inositol biosynthetic process
Signal transduction
Phosphate-containing compound metabolic process
Inositol metabolic process
Response to lithium ion","Cytoplasm
Cytosol",ENSG00000141401,inositol monophosphatase 2,protein_coding
IMPDH1P7,,,,ENSG00000226553,inosine monophosphate dehydrogenase 1 pseudogene 7,processed_pseudogene
INAFM2,,,Membrane,ENSG00000259330,InaF motif containing 2,protein_coding
INHBA,"Hormone activity
Growth factor activity
Protein binding
Identical protein binding
Cytokine activity
Signaling receptor binding
Protein-containing complex binding
Peptide hormone binding
Type ii activin receptor binding","Positive regulation of gene expression
Nervous system development
Cell differentiation
Cell surface receptor signaling pathway
Positive regulation of dna-templated transcription
Positive regulation of transcription by rna polymerase ii
Negative regulation of cell population proliferation
Regulation of transcription by rna polymerase ii
Erythrocyte differentiation
Defense response
Negative regulation of type ii interferon production
Negative regulation of hair follicle development
Mesoderm formation
Hematopoietic progenitor cell differentiation
Transcription by rna polymerase ii
Lipid metabolic process
Steroid biosynthetic process
Autophagy
Androgen metabolic process
Gene expression
Cytokine-mediated signaling pathway
Positive regulation of collagen biosynthetic process
Positive regulation of transcription by rna polymerase iii
Mesodermal cell differentiation
Positive regulation of ovulation
Smad protein signal transduction
Cardiac fibroblast cell development
Eyelid development in camera-type eye
Positive regulation of erk1 and erk2 cascade
Cellular response to follicle-stimulating hormone stimulus
Cellular response to cholesterol
Cellular response to hypoxia
Cellular response to oxygen-glucose deprivation
Androst-4-ene-3,17-dione biosynthetic process
Response to aldosterone
Cellular response to angiotensin
Male gonad development
Hair follicle development
Roof of mouth development
Cell-cell signaling
Extrinsic apoptotic signaling pathway
Positive regulation of protein metabolic process
Positive regulation of extrinsic apoptotic signaling pathway in absence of ligand
Activin receptor signaling pathway
Positive regulation of smad protein signal transduction
Ovarian follicle development
Negative regulation of phosphorylation
Hemoglobin biosynthetic process
Negative regulation of b cell differentiation
Negative regulation of macrophage differentiation
Positive regulation of follicle-stimulating hormone secretion
Negative regulation of follicle-stimulating hormone secretion
Odontogenesis
Striatal medium spiny neuron differentiation
Negative regulation of cell growth
Endodermal cell differentiation
Progesterone secretion
Positive regulation of erythrocyte differentiation
Regulation of follicle-stimulating hormone secretion
Gabaergic neuron differentiation
Negative regulation of g1/s transition of mitotic cell cycle","Extracellular region
Extracellular space
Perinuclear region of cytoplasm
Inhibin a complex
Activin a complex
Enzyme activator complex",ENSG00000122641,inhibin subunit beta A,protein_coding
INHBA-AS1,,,,ENSG00000224116,INHBA antisense RNA 1,lncRNA
INHBB,"Growth factor activity
Cytokine activity
Protein binding
Hormone activity
Protein homodimerization activity
Host cell surface receptor binding","Cell differentiation
Defense response
Fat cell differentiation
Cellular response to starvation
Cellular response to insulin stimulus
Response to wounding
Ovarian follicle development
Positive regulation of follicle-stimulating hormone secretion
Negative regulation of follicle-stimulating hormone secretion
Positive regulation of ovulation
Spermatogenesis
Male gonad development
Female gonad development
Response to organic cyclic compound
Response to insecticide
Pituitary gland development
Negative regulation of hepatocyte growth factor production
Activin receptor signaling pathway
Response to gonadotropin
Cellular response to leptin stimulus
Adhesion of symbiont to host cell
Negative regulation of insulin secretion
Oocyte development
Cellular response to calcium ion
Cellular response to camp
Cellular response to interleukin-1
Cellular response to cholesterol
Cellular response to organic cyclic compound
Seminiferous tubule development
Cellular response to thyroid hormone stimulus
Apoptotic signaling pathway
Cellular response to thyroglobulin triiodothyronine
Positive regulation of apoptotic signaling pathway","Extracellular region
Perinuclear region of cytoplasm
Extracellular space
Cell periphery",ENSG00000163083,inhibin subunit beta B,protein_coding
INHBE,"Hormone activity
Growth factor activity
Cytokine activity",Signal transduction,"Extracellular region
Extracellular space
Collagen-containing extracellular matrix",ENSG00000139269,inhibin subunit beta E,protein_coding
INKA2,"Protein serine/threonine kinase inhibitor activity
Protein kinase binding",,"Nucleus
Nucleoplasm
Intracellular membrane-bounded organelle
Nucleolus",ENSG00000197852,inka box actin regulator 2,protein_coding
INKA2-AS1,,,,ENSG00000227811,INKA2 antisense RNA 1,lncRNA
INMT-MINDY4,Methyltransferase activity,Methylation,,ENSG00000254959,INMT-MINDY4 readthrough (NMD candidate),protein_coding
INPP5F,"Phosphatase activity
Hydrolase activity
Protein binding
Inositol monophosphate 1-phosphatase activity
Inositol monophosphate 3-phosphatase activity
Inositol monophosphate 4-phosphatase activity
Inositol monophosphate phosphatase activity
Protein homodimerization activity
Phosphatidylinositol phosphate 4-phosphatase activity
Phosphatidylinositol phosphate 5-phosphatase activity
Phosphatidylinositol-4-phosphate phosphatase activity","Phosphatidylinositol-mediated signaling
Phosphatidylinositol biosynthetic process
Regulation of cell motility
Phosphatidylinositol dephosphorylation
Clathrin-dependent endocytosis
Positive regulation of receptor recycling
Negative regulation of tyrosine phosphorylation of stat protein
Regulation of endocytic recycling
Negative regulation of axon regeneration
Adult locomotory behavior
Cardiac muscle hypertrophy in response to stress
Phosphatidylinositol catabolic process
Negative regulation of peptidyl-serine phosphorylation
Phosphatidylinositol 3-kinase/protein kinase b signal transduction
Regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Vacuolar proton-transporting v-type atpase complex assembly","Endosome
Intracellular membrane-bounded organelle
Clathrin-coated pit
Early endosome
Recycling endosome
Early endosome membrane
Clathrin-coated endocytic vesicle
Cytoplasm
Axon
Dendrite
Neuronal cell body
Membrane
Cytoplasmic vesicle",ENSG00000198825,inositol polyphosphate-5-phosphatase F,protein_coding
INS,"Hormone activity
Protein binding
Identical protein binding
Protease binding
Insulin receptor binding
Insulin-like growth factor receptor binding","Negative regulation of gene expression
Positive regulation of gene expression
Signal transduction
Glucose metabolic process
Positive regulation of cytokine production
Positive regulation of cell population proliferation
Cellular response to oxygen-containing compound
Negative regulation of protein catabolic process
Glucose homeostasis
Positive regulation of protein secretion
Positive regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Positive regulation of cell migration
Positive regulation of neuron projection development
Insulin receptor signaling pathway
Positive regulation of nf-kappab transcription factor activity
Wound healing
Cell-cell signaling
Positive regulation of cell growth
Positive regulation of mitotic nuclear division
Regulation of synaptic plasticity
Positive regulation of protein metabolic process
Activation of protein kinase b activity
Positive regulation of glucose import
Negative regulation of lipid catabolic process
Positive regulation of protein autophosphorylation
Regulation of dna-templated transcription
Positive regulation of mapk cascade
Negative regulation of fatty acid metabolic process
G protein-coupled receptor signaling pathway
Negative regulation of proteolysis
Positive regulation of protein localization to nucleus
Vasodilation
Regulation of protein localization
Negative regulation of acute inflammatory response
Regulation of cellular amino acid metabolic process
Acute-phase response
Positive regulation of nitric oxide mediated signal transduction
Regulation of transmembrane transporter activity
Negative regulation of nad(p)h oxidase activity
Nitric oxide-cgmp-mediated signaling
Positive regulation of cell differentiation
Negative regulation of gluconeogenesis
Positive regulation of glycogen biosynthetic process
Negative regulation of glycogen catabolic process
Positive regulation of glycolytic process
Positive regulation of insulin receptor signaling pathway
Alpha-beta t cell activation
Positive regulation of lipid biosynthetic process
Regulation of protein secretion
Negative regulation of protein secretion
Cognition
Positive regulation of nitric-oxide synthase activity
Fatty acid homeostasis
Negative regulation of respiratory burst involved in inflammatory response
Positive regulation of respiratory burst
Positive regulation of peptide hormone secretion
Positive regulation of brown fat cell differentiation
Positive regulation of long-term synaptic potentiation
Negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
Positive regulation of dendritic spine maintenance
Regulation of protein localization to plasma membrane
Negative regulation of reactive oxygen species biosynthetic process
Neuron projection maintenance
Negative regulation of feeding behavior
Response to l-arginine","Extracellular region
Extracellular space
Endosome lumen
Golgi membrane
Secretory granule lumen
Endoplasmic reticulum lumen
Transport vesicle
Golgi lumen
Endoplasmic reticulum-golgi intermediate compartment membrane",ENSG00000254647,insulin,protein_coding
INS-IGF2,Hormone activity,Signal transduction,"Extracellular region
Extracellular space",ENSG00000129965,INS-IGF2 readthrough,protein_coding
INSIG1,"Protein binding
Lipid binding
Protein sequestering activity
Oxysterol binding","Cholesterol metabolic process
Cholesterol biosynthetic process
Cholesterol homeostasis
Triglyceride metabolic process
Response to sterol depletion
Negative regulation of steroid biosynthetic process
Sterol biosynthetic process
Cellular response to insulin stimulus
Srebp signaling pathway
Cellular response to sterol
Srebp-scap complex retention in endoplasmic reticulum
Inner ear morphogenesis
Middle ear morphogenesis
Negative regulation of fat cell differentiation
Negative regulation of fatty acid biosynthetic process
Roof of mouth development
Cranial suture morphogenesis
Negative regulation of protein exit from endoplasmic reticulum
Negative regulation of cargo loading into copii-coated vesicle","Membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Srebp-scap-insig complex",ENSG00000186480,insulin induced gene 1,protein_coding
INSR,"Atp binding
Protein binding
Protein kinase activity
Transmembrane receptor protein tyrosine kinase activity
Protein tyrosine kinase activity
Phosphatidylinositol 3-kinase binding
Insulin receptor substrate binding
Amyloid-beta binding
Protein domain specific binding
Protein-containing complex binding
Gtp binding
Insulin-like growth factor receptor binding
Cargo receptor activity
Insulin receptor activity
Protein kinase activator activity
Insulin-like growth factor i binding
Insulin-like growth factor ii binding
Insulin binding
Ptb domain binding
Identical protein binding","Protein phosphorylation
Cell surface receptor protein tyrosine kinase signaling pathway
Protein autophosphorylation
Positive regulation of cell population proliferation
Positive regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Positive regulation of cell migration
Positive regulation of map kinase activity
Insulin receptor signaling pathway
Positive regulation of protein phosphorylation
Transport across blood-brain barrier
Heart morphogenesis
Positive regulation of mapk cascade
Activation of protein kinase b activity
Cellular response to insulin stimulus
Positive regulation of nitric oxide biosynthetic process
Learning
Peptidyl-tyrosine phosphorylation
Regulation of dna-templated transcription
Positive regulation of mitotic nuclear division
Glucose homeostasis
G protein-coupled receptor signaling pathway
Amyloid-beta clearance
Receptor-mediated endocytosis
Positive regulation of glycogen biosynthetic process
Positive regulation of glycolytic process
Positive regulation of glucose import
Positive regulation of respiratory burst
Neuron projection maintenance
Dendritic spine maintenance
Positive regulation of receptor internalization
Memory
Positive regulation of protein-containing complex disassembly
Regulation of embryonic development
Symbiont entry into host cell
Positive regulation of developmental growth
Epidermis development
Male gonad development
Animal organ morphogenesis
Male sex determination
Adrenal gland development
Exocrine pancreas development
Receptor internalization
Positive regulation of dna-templated transcription
Positive regulation of meiotic cell cycle
Cellular response to growth factor stimulus
Regulation of female gonad development","Membrane
Plasma membrane
Endosome
Late endosome
Lysosome
Receptor complex
Extracellular exosome
Axon
Endosome membrane
External side of plasma membrane
Caveola
Nuclear envelope
Nuclear lumen
Dendrite membrane
Neuronal cell body membrane
Insulin receptor complex",ENSG00000171105,insulin receptor,protein_coding
INSYN1-AS1,,,,ENSG00000260469,INSYN1 antisense RNA 1,lncRNA
INTS10,Protein binding,"Snrna processing
Regulation of transcription elongation by rna polymerase ii","Nucleus
Integrator complex
Nucleoplasm",ENSG00000104613,integrator complex subunit 10,protein_coding
INTS8,Protein binding,"Snrna 3'-end processing
Regulation of transcription elongation by rna polymerase ii
Snrna processing","Nucleus
Nucleoplasm
Integrator complex",ENSG00000164941,integrator complex subunit 8,protein_coding
IPCEF1,"Protein binding
Peroxidase activity
Oxygen carrier activity","Cellular oxidant detoxification
Response to oxidative stress
Oxygen transport","Cytoplasm
Plasma membrane",ENSG00000074706,interaction protein for cytohesin exchange factors 1,protein_coding
IPO9,"Small gtpase binding
Protein binding
Histone binding
Nuclear import signal receptor activity
Histone chaperone activity","Intracellular protein transport
Protein transport
Protein import into nucleus
Proteasome localization","Nucleus
Cytoplasm
Membrane
Cytosol
Nuclear envelope",ENSG00000198700,importin 9,protein_coding
IPO9-AS1,,,,ENSG00000231871,IPO9 antisense RNA 1,lncRNA
IPP,"Protein binding
Actin binding",,"Cytoplasm
Cytoskeleton
Actin cytoskeleton",ENSG00000197429,intracisternal A particle-promoted polypeptide,protein_coding
IPPKP1,,,,ENSG00000225585,"inositol 1,3,4,5,6-pentakisphosphate 2-kinase pseudogene 1",processed_pseudogene
IQCJ,,,,ENSG00000214216,IQ motif containing J,protein_coding
IQCJ-SCHIP1,Protein binding,"Negative regulation of cytoskeleton organization
Positive regulation of hippo signaling","Cytoplasm
Cell projection
Axon
Plasma membrane
Cell junction
Axon initial segment",ENSG00000283154,IQCJ-SCHIP1 readthrough,protein_coding
IQSEC1,"Guanyl-nucleotide exchange factor activity
Protein binding
Lipid binding","Regulation of arf protein signal transduction
Actin cytoskeleton organization
Dendritic spine development
Positive regulation of keratinocyte migration
Positive regulation of focal adhesion disassembly","Nucleus
Cytoplasm
Membrane
Intracellular membrane-bounded organelle
Nucleolus
Synapse
Synaptic vesicle
Cytoplasmic vesicle
Postsynaptic density",ENSG00000144711,IQ motif and Sec7 domain ArfGEF 1,protein_coding
IRAK1BP1,"Protein binding
Signaling adaptor activity","Immune response
Positive regulation of canonical nf-kappab signal transduction
Canonical nf-kappab signal transduction","Nucleus
Cytoplasm",ENSG00000146243,interleukin 1 receptor associated kinase 1 binding protein 1,protein_coding
IRS2,"Insulin receptor binding
Protein binding
Phosphatidylinositol 3-kinase binding
Transmembrane receptor protein tyrosine kinase adaptor activity
Protein kinase binding
Protein phosphatase binding
Protein domain specific binding
Protein-macromolecule adaptor activity
14-3-3 protein binding
Phosphatidylinositol 3-kinase activator activity","Insulin receptor signaling pathway
Signal transduction
Positive regulation of cell population proliferation
Positive regulation of insulin secretion
Cellular response to insulin stimulus
Positive regulation of glycogen biosynthetic process
Positive regulation of glucose import
Response to glucose
Positive regulation of b cell proliferation
Lipid homeostasis
Negative regulation of long-chain fatty acid import across plasma membrane
Positive regulation of glucose metabolic process
Positive regulation of fatty acid beta-oxidation
Glucose metabolic process
Regulation of lipid metabolic process
Positive regulation of mesenchymal cell proliferation
Negative regulation of b cell apoptotic process
Brain development
Cell population proliferation
Epithelial cell migration
Positive regulation of epithelial cell migration
Cell migration
Mammary gland development
Negative regulation of kinase activity
Type b pancreatic cell proliferation
Positive regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Cellular response to glucose stimulus
Cellular response to peptide
Positive regulation of type b pancreatic cell proliferation","Cytoplasm
Cytosol
Plasma membrane",ENSG00000185950,insulin receptor substrate 2,protein_coding
IRX1,"Dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription repressor activity, rna polymerase ii-specific
Sequence-specific double-stranded dna binding
Sequence-specific dna binding","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Negative regulation of transcription by rna polymerase ii
Neuron differentiation
Cell development
Metanephros development
Positive regulation of gene expression
Response to organic cyclic compound
Specification of loop of henle identity
Proximal/distal pattern formation involved in metanephric nephron development","Nucleus
Chromatin",ENSG00000170549,iroquois homeobox 1,protein_coding
IRX3,"Dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Sequence-specific double-stranded dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific
Dna-binding transcription repressor activity, rna polymerase ii-specific","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Neuron differentiation
Positive regulation of transcription by rna polymerase ii
Negative regulation of transcription by rna polymerase ii
Energy homeostasis
Cell development
Positive regulation of gap junction assembly
Regulation of cell communication by electrical coupling involved in cardiac conduction
Metanephros development
Purkinje myocyte development
Atrioventricular bundle cell differentiation
Mesoderm development
Negative regulation of neuron differentiation
Positive regulation of neuron differentiation
His-purkinje system cell differentiation
Proximal/distal pattern formation involved in nephron development
Specification of loop of henle identity","Nucleus
Chromatin
Cytoplasm
Axon",ENSG00000177508,iroquois homeobox 3,protein_coding
ISCA1P1,,,,ENSG00000217416,iron-sulfur cluster assembly 1 pseudogene 1,processed_pseudogene
ISCA1P3,,,,ENSG00000261965,iron-sulfur cluster assembly 1 pseudogene 3,processed_pseudogene
ISCA2,"Iron-sulfur cluster binding
Metal ion binding
Protein binding
Identical protein binding
Iron ion binding
2 iron, 2 sulfur cluster binding
4 iron, 4 sulfur cluster binding","Iron-sulfur cluster assembly
Protein maturation by [4fe-4s] cluster transfer","Mitochondrion
Mitochondrial matrix",ENSG00000165898,iron-sulfur cluster assembly 2,protein_coding
